CNT,CNTSCHID,REGION,STRATUM,LOC,COMP,SCSIZE,SC002Q01TA,SC002Q02TA,STRATIO,TOTAT,STUBI,TEABI,RESSI,STAFI,total_homework_time,CPERIODS,SCIENCE,READING,MATH,mean_reading_attitude,mean_science_attitude,mean_math_attitude
CZE,20300035,20300,CZE23,0,1,268,125,143,9.5714,28,1.4,1.6,1.5,1.5,2,31.583333333333332,575.45455,552.7164583333333,558.363975,3.0833333333333335,2.861111111111111,2.861111111111111
CZE,20300036,20300,CZE09,0,1,349,187,162,14.5417,24,2.2,1.6,1,2.75,1.5714285714285714,22.571428571428573,423.19045714285716,408.3155142857143,410.0075714285714,2.7142857142857144,2.4761904761904763,2.238095238095238
CZE,20300037,20300,CZE29,1,3,438,196,242,11.68,37.5,1.4,2.4,3,2,3.0454545454545454,34.36363636363637,587.9006136363636,560.2152,540.7687272727272,3.257575757575758,2.757575757575758,2.5
CZE,20300038,20300,CZE26,0,3,193,78,115,10.1579,19,1.6,2.2,1.75,1,3.1875,32.75,592.3096375,573.1005375,565.13373125,2.625,2.8541666666666665,2.8958333333333335
CZE,20300039,20300,CZE29,0,1,307,158,149,9.4462,32.5,1.6,1.4,1.25,1.5,1.9166666666666667,30.083333333333332,600.5464916666667,556.9602583333333,575.5256,2.9722222222222223,3.1944444444444446,2.7222222222222223
CZE,20300040,20300,CZE30,1,1,231,88,143,11.8462,19.5,1.8,1.2,1.5,1,1.5263157894736843,29,537.2918421052632,530.8043736842105,519.8569894736842,2.754385964912281,2.6842105263157894,2.526315789473684
CZE,20300041,20300,CZE14,1,1,716,334,382,16.8471,42.5,1.4,1.8,1,1,1.9285714285714286,31.357142857142858,525.9605428571429,523.6085714285714,515.8238785714286,2.8095238095238098,2.9285714285714284,2.761904761904762
CZE,20300042,20300,CZE31,1,1,909,277,632,17.4808,52,2.6,1.4,1.75,2,1.2903225806451613,30.516129032258064,409.1688,411.8429193548387,405.3587258064516,2.3978494623655915,2.2365591397849465,2.10752688172043
CZE,20300043,20300,CZE31,0,1,392,317,75,16.3333,24,2.8,2,2.5,3,1.5263157894736843,33.31578947368421,513.1854157894737,440.14415263157895,491.90257894736845,2.2280701754385963,2.6140350877192984,2.526315789473684
CZE,20300044,20300,CZE31,1,1,537,229,308,12.9398,41.5,2.4,1.6,1,2.5,1.25,26.25,418.52874166666663,428.0776583333333,432.8577833333333,2.305555555555556,2.4722222222222223,2.4722222222222223
CZE,20300045,20300,CZE30,0,1,320,36,284,8.7671,36.5,1.8,2,2.5,2.25,2.576923076923077,34.42307692307692,511.79358846153843,516.5771307692307,484.64857307692307,2.730769230769231,2.807692307692308,2.7948717948717947
CZE,20300046,20300,CZE31,0,1,432,234,198,NA,NA,2.2,1,2,3,1.75,20,417.640625,363.958375,393.111,1.8333333333333333,2.1666666666666665,1.6666666666666667
CZE,20300047,20300,CZE30,1,1,697,238,459,12.0172,58,1.4,1.8,2.5,2.75,2.0294117647058822,32.205882352941174,591.5656205882353,590.3725382352941,572.5422470588235,2.715686274509804,2.6176470588235294,2.6470588235294117
CZE,20300048,20300,CZE01,1,3,748,359,389,45.3333,16.5,1.6,1.4,2.25,2.75,2.1578947368421053,36.526315789473685,440.7154105263158,432.08544736842106,441.2188789473684,2.3859649122807016,2.43859649122807,2.43859649122807
CZE,20300049,20300,CZE31,1,1,505,482,23,9.2661,54.5,1.4,1,1.75,1.5,2.1176470588235294,40.05882352941177,473.9331470588235,430.7342705882353,459.74811176470587,2.392156862745098,2.2941176470588234,2.431372549019608
CZE,20300050,20300,CZE30,1,1,594,151,443,13.3483,44.5,1.8,1.8,1.75,1,2.4571428571428573,32.02857142857143,558.5001771428572,571.7014171428572,558.79428,2.7714285714285714,2.4952380952380953,2.5428571428571427
CZE,20300051,20300,CZE30,1,1,872,835,37,9.9091,88,2,2.2,1.75,2,2.2941176470588234,32.411764705882355,577.9658,540.3896911764706,579.6012088235294,2.5686274509803924,2.3823529411764706,2.7941176470588234
CZE,20300052,20300,CZE15,1,1,225,113,112,9.1837,24.5,1.6,2,1.75,1.5,2.875,30,556.18821875,564.49685625,534.85694375,2.5416666666666665,2.7708333333333335,2.6041666666666665
CZE,20300053,20300,CZE21,0,2,165,82,83,11.3793,14.5,2.4,2.2,3.5,2,3.176470588235294,32.8235294117647,568.4547941176471,550.5744470588236,537.9436235294118,2.764705882352941,2.9215686274509802,2.8823529411764706
CZE,20300054,20300,CZE11,0,3,458,215,243,11.0361,41.5,2,2.2,2.5,2.5,2.125,33.1875,476.97650625,466.9061875,479.23628125,2.5625,2.7291666666666665,2.3958333333333335
CZE,20300055,20300,CZE29,0,1,88,88,NA,8,11,2,1.2,2.25,2.25,2.7142857142857144,33.57142857142857,552.0515214285715,546.0311,524.9052428571429,3.2857142857142856,2.9761904761904763,2.547619047619048
CZE,20300056,20300,CZE09,0,3,232,126,106,13.2571,17.5,1.8,2.2,2.75,3,2.5,23.071428571428573,462.9973,445.49167857142857,451.0371928571428,2.738095238095238,2.619047619047619,2.5238095238095237
CZE,20300057,20300,CZE01,1,1,936,621,315,26,36,1.6,1.4,1,3.25,2.6,32.95,514.16314,508.762915,504.459815,2.6833333333333336,2.9,2.6666666666666665
CZE,20300058,20300,CZE11,0,3,160,86,74,12.8,12.5,1.4,1.6,1.5,2,1.5,30.5,524.81515,509.93674999999996,537.85055,3,3.1666666666666665,2.833333333333333
CZE,20300059,20300,CZE27,1,1,552,244,308,10.1284,54.5,1.2,1,2.5,1,2.033333333333333,33.233333333333334,563.6367733333334,563.8001399999999,560.1970766666667,2.7333333333333334,2.7555555555555555,2.6555555555555554
CZE,20300060,20300,CZE29,1,1,864,349,515,10.8,80,1.6,2.2,2.25,3.75,2.75,32.6875,596.386440625,591.56069375,587.13560625,2.71875,2.7916666666666665,2.7604166666666665
