CNT,CNTSCHID,REGION,STRATUM,SC001Q01TA,SC011Q01TA,SCHSIZE,SC002Q01TA,SC002Q02TA,STRATIO,TOTAT,student_behavior_issue_mean,teacher_behavior_issue_mean,resources_issue_mean,staff_issues_mean,SC061Q01TA,SC061Q02TA,SC061Q03TA,SC061Q04TA,SC061Q05TA,SC061Q06TA,SC061Q07TA,SC061Q08TA,SC061Q09TA,SC061Q10TA,SC017Q01NA,SC017Q02NA,SC017Q03NA,SC017Q04NA,SC017Q05NA,SC017Q06NA,SC017Q07NA,SC017Q08NA
POL,61600021,61600,POL02,4,1,560,212,348,11.6667,48,2.2,1.2,1,1.25,3,3,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1
POL,61600022,61600,POL03,4,1,659,592,67,10.378,63.5,2.4,1.4,1.5,2,3,3,2,2,2,1,1,2,2,1,3,3,1,1,1,1,2,2
POL,61600023,61600,POL02,3,1,669,225,444,14.234,47,1.6,2.4,1.5,1,2,2,2,1,1,2,2,3,3,2,1,1,1,1,1,3,1,1
POL,61600024,61600,POL02,3,1,471,150,321,13.8529,34,2,1.4,1.25,1.5,3,3,2,1,1,2,2,1,1,1,2,2,1,1,1,1,1,2
POL,61600025,61600,POL02,4,1,563,249,314,11.0392,51,1.2,2,1.5,1.5,1,2,1,1,1,2,2,3,1,2,2,2,1,1,1,1,2,2
POL,61600026,61600,POL04,4,1,122,121,1,4.6038,26.5,2.4,2,1,2,3,3,2,2,2,3,1,2,1,3,3,3,1,1,1,1,1,1
POL,61600027,61600,POL03,3,1,1131,588,543,14.4076,78.5,2.4,1.8,2,2.5,3,3,2,2,2,2,3,1,1,2,3,3,2,2,2,2,2,2
POL,61600028,61600,POL03,3,3,624,611,13,12.2353,51,2.8,2.6,3.75,3,3,3,3,2,3,3,3,3,3,1,3,3,3,3,4,3,4,4
POL,61600029,61600,POL04,4,1,89,43,46,2.6567,33.5,2.6,2.4,1.25,2.25,3,3,3,2,2,2,3,3,2,2,3,2,2,2,1,2,1,1
POL,61600031,61600,POL03,3,1,340,269,71,11.7241,29,2.4,1.8,2.5,1.5,3,3,2,3,1,2,1,3,2,1,3,1,1,1,3,3,2,2
POL,61600032,61600,POL02,4,1,998,447,551,12.2454,81.5,1.6,1.6,1.25,1,2,3,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1
POL,61600033,61600,POL02,2,1,628,233,395,13.3617,47,1.6,1.4,1,1.5,2,2,1,2,1,1,2,1,2,1,3,1,1,1,1,1,1,1
POL,61600034,61600,POL02,4,1,836,229,607,11.6923,71.5,2.4,2.4,2.5,2,3,3,3,2,1,2,2,3,3,2,2,2,2,2,4,4,1,1
POL,61600035,61600,POL02,3,1,730,200,530,14.898,49,2,2,1,1,2,2,2,2,2,3,1,2,2,2,1,1,1,1,1,1,1,1
POL,61600036,61600,POL02,4,1,152,62,90,6.3333,24,1.4,1.8,2.5,2.5,1,2,1,2,1,2,1,2,2,2,3,3,2,2,3,3,2,2
